iter	Logloss
0	0.687022779
1	0.6797647805
2	0.6731543704
3	0.6682466165
4	0.6634245912
5	0.657784942
6	0.6532422455
7	0.6499083185
8	0.6451232797
9	0.6397623221
10	0.6357942626
11	0.6319979535
12	0.6283335016
13	0.6239901952
14	0.6205001553
15	0.6175513127
16	0.6138804472
17	0.6100079048
18	0.6069029883
19	0.6048302911
20	0.6013075226
21	0.5985433412
22	0.5963909812
23	0.5940848195
24	0.5919061936
25	0.5899504951
26	0.5873368094
27	0.5849370802
28	0.5822167947
29	0.5782716336
30	0.5755845597
31	0.5720759446
32	0.5685750336
33	0.5662436244
34	0.564294189
35	0.5616019679
36	0.5596689905
37	0.5564248261
38	0.5533487855
39	0.5503711644
40	0.5475502093
41	0.5457380365
42	0.5434361352
43	0.540956344	044	0.539284845	045	0.537612346	046	0.535303743
47	0.5339626837
48	0.5316985949	0.5357710258
550	0.5288956239551	0.527511893352	0.5310374757
53	0.5296504955
554	0.5210672561
55	0.5188322034
56	0.5174006691
57	0.5154079533
58	0.5140750732
59	0.5125397806
60	0.5104837884
61	0.509111534
62	0.5076848856
63	0.5059935967
64	0.5045802892
65	0.5029477704
66	0.5016658317
67	0.5004417368	68	0.4993768269	0.5068525957
70	0.5055383189
71	0.5042570898
72	0.5029394852
73	0.5013615355
74	0.5000360135
75	0.4986988821
76	0.4972650133
77	0.4964116588
78	0.4952019585
79	0.4939425888
80	0.4929496428
81	0.4919230226
82	0.4908889144
83	0.4897114121
84	0.4890241141
85	0.4878865994
86	0.486427576
87	0.4855941555
88	0.4847300531
89	0.4840243492
90	0.4829532116
91	0.4821394429
92	0.4809705267
93	0.4804168029
94	0.4793871193
95	0.4783839942
96	0.4775106553
97	0.4765135567
98	0.4754177255
99	0.474310118
100	0.4733262808
101	0.4727366025
102	0.4719923058
103	0.4707995356
104	0.4700645453
105	0.4690701272
106	0.4679942112
107	0.4672271544
108	0.4667088229
109	0.4659392522
110	0.4653961091
111	0.4645003836
112	0.4634406405
113	0.4628621811
114	0.4619901486
115	0.4611168713
116	0.4603386922
117	0.4594554237
118	0.4585191887
119	0.4578788912
120	0.4572787768
121	0.4564796579
122	0.4556119813
123	0.4547979693
124	0.4543132448
125	0.4532781695
126	0.4525352818
127	0.4517229676
128	0.4510915401
129	0.4504922688
130	0.4493970655
131	0.4486287866
132	0.4472628758
133	0.4465282392
134	0.4459201432
135	0.4452062263
136	0.4442694797
137	0.4434115878
138	0.442763235
139	0.442211056
140	0.441551494
141	0.4409567063
142	0.4402783467
143	0.4394838052
144	0.4391012223
145	0.4387344897
146	0.438092714
147	0.4374250982
83739

